"Identifiant 
RATP";Ligne;Station ou Gare;Longitude;Latitude;id IDM de l'accès le plus proche;Adresse;Code postal;Commune;Numéro de l'accès à la station le plus proche ;"Nom de l'accès à la station le plus proche 
";En zone contrôlée ou non;Point_geographique
8.0;3;Métro Gambetta;2.398237000000000;48.864901099999997;50147895.0;10 Place Gambetta;75020;Paris;2.0;pl. Gambetta;en zone contrôlée;48.8649011, 2.398237
11.0;4;Métro Denfert-Rochereau;2.331880500000000;48.834250400000002;50147853.0;4 Avenue du Colonel Henri Rol Tanguy;75014;Paris;1.0;pl. Denfert-Rochereau;;48.8342504, 2.3318805
16.0;6;Métro Nation;2.395229900000000;48.847781800000000;50148053.0;6 Place de la Nation / Rue Dorian;75011;Paris;2.0;av. Dorian;;48.8477818, 2.3952299
22.0;9;Métro Saint-Augustin;2.321390000000000;48.874532600000002;50148290.0;85 Boulevard Haussmann;75008;Paris;2.0;bd Haussmann;;48.8745326, 2.32139
28.0;A;RER Gare de Lyon;2.374085700000000;48.843773200000001;50147982.0;174 Rue de Bercy;75012;Paris;2.0;Min. Économie et Finances;;48.8437732, 2.3740857
29.0;A;RER Nanterre-Préfecture;2.222746200000000;48.895963899999998;50148545.0;Place François Mitterrand;92000;Nanterre;1.0;Carillon;;48.8959639, 2.2227462
39.0;7;Métro Poissonnière;2.349333200000000;48.877303099999999;50148814.0;96 Rue La Fayette (Terre-plein);75010;Paris;2.0;r. de Chabrol;;48.8773031, 2.3493332
47.0;10;Métro Boulogne-Jean Jaures;2.238925200000000;48.842066400000000;50148382.0;25 Boulevard Jean Jaurès;92100;Boulogne;;bd Jean Jaurès / rue du Château / côté des n° pairs;;48.8420664, 2.2389252
49.0;10;Métro Charles Michels;2.286216300000000;48.846415600000000;50148372.0;36 bis Rue des Entrepreneurs;75015;Paris;2.0;r. des Entrepreneurs;;48.8464156, 2.2862163
71.0;9;Croix de Chavaux;2.4357957;48.8579814;109091.0;Place Jacques Duclos/Boulevard Chanzy;93100;Montreuil;;;;48.8579814, 2.4357957
78.0;14;Madeleine;2.3253215;48.8706375;118047.0;20, place de la Madeleine;75008;Paris;;;;48.8706375, 2.3253215
79.0;14;Gare de Lyon SA238;2.3749152;48.8428333;118053.0;201 Rue de Bercy;75012;Paris;;;;48.8428333, 2.3749152
81.0;A;Bussy-Saint-Georges;2.7094370;48.8365977;146049.0;Rocade de la Gare;77600;Bussy St Georges;;;;48.8365977, 2.709437
4.0;1;Métro Pont de Neuilly;2.259519400000000;48.884814499999997;50147940.0;205 Avenue Ch.De Gaulle;92200;Neuilly-sur-Seine;2.0;av. de Madrid;;48.8848145, 2.2595194
5.0;1;Métro Porte de Vincennes;2.408922300000000;48.847267299999999;50147980.0;Cours de Vincennes / Rue du Général Niessel;75012;Paris;1.0;r. du Général Niessel;;48.8472673, 2.4089223
9.0;3;Métro Havre-Caumartin;2.328369700000000;48.873610200000002;50147875.0;64 Boulevard Haussmann;75009;Paris;2.0;bd Haussmann;;48.8736102, 2.3283697
14.0;4;Métro Strasbourg-Saint-Denis;2.353934300000000;48.869342600000003;50208192.0;Boulevard de Sébastopol / Boulevard Saint-Denis;75002;Paris;1.0;bd de Sébastopol;;48.8693426, 2.3539343
18.0;7;Métro Villejuif-Louis Aragon;2.367859600000000;48.787626699999997;50148150.0;175 Boulevard Maxime Gorki;94800;Villejuif;2.0;bd Maxime Gorki;;48.7876267, 2.3678596
19.0;8;Métro Balard;2.277342000000000;48.834982599999996;50148154.0;10 Boulevard Victor;75015;Paris;1.0;bd Victor;;48.8349826, 2.277342
23.0;10;Métro La Motte-Picquet-Grenelle;2.298553300000000;48.849424499999998;50148368.0;63 Avenue de la Motte-Picquet;75015;Paris;2.0;av. de La Motte-Picquet;;48.8494245, 2.2985533
36.0;4;Métro Marcadet-Poissonniers;2.349499000000000;48.890607000000003;50147761.0;69 Boulevard Barbès;75018;Paris;1.0;bd Barbès;;48.890607, 2.349499
45.0;9;Métro Porte de Saint-Cloud;2.255961700000000;48.837748300000001;50148247.0;Avenue Édouard Vaillant (Boulogne-Billancourt);75016;Paris;;Gare Routière;;48.8377483, 2.2559617
46.0;9;Métro Saint-Philippe-du-Roule;2.310141100000000;48.872379899999999;50148283.0;30 Avenue Franklin D. Roosevelt;75008;Paris;1.0;r. La Boétie;;48.8723799, 2.3101411
51.0;10;Métro Michel-Ange-Molitor;2.261628500000000;48.845249000000003;50148387.0;38 Rue Michel-Ange / Rue Molitor;75016;Paris;;Entrée / Sortie;;48.845249, 2.2616285
53.0;12;Métro Front Populaire;2.366294600000000;48.906578799999998;50148735.0;33 Rue du Pilier;93300;Aubervilliers;1.0;r. Léon Blum;;48.9065788, 2.3662946
56.0;12;Métro Porte de Versailles;2.288089100000000;48.832208899999998;50148426.0;1 Avenue Ernest Renan;75015;Paris;1.0;av. Ernest Renan;;48.8322089, 2.2880891
57.0;12;Métro Sèvres-Babylone;2.327057100000000;48.851585200000002;50148445.0;18 Rue de Sèvres;75007;Paris;1.0;r. de Sèvres;;48.8515852, 2.3270571
60.0;14;Métro Bibliothèque François Miterrand;2.375973300000000;48.829749999999997;50148910.0;60 Rue du Chevaleret;75013;Paris;1.0;r. du Chevaleret;;48.82975, 2.3759733
76.0;13;Porte de Vanves;2.3052727;48.8277019;114039.0;10, Boulevard Brune;75014;Paris;;;;48.8277019, 2.3052727
77.0;14;Cour Saint-Émilion;2.3858607;48.8337977;118057.0;Cours des Chamonard;75012;Paris;;;;48.8337977, 2.3858607
6.0;1;Métro Porte Maillot;2.282886000000000;48.877533999999997;50147958.0;87 Avenue de la Grande Armée;75016;Paris;5.0;av. de Malakoff;;48.877534, 2.282886
12.0;4;Métro Gare du Nord;2.356907300000000;48.879801800000003;50147779.0;155 Rue La Fayette;75010;Paris;1.0;r. du Fbg Saint-Denis;;48.8798018, 2.3569073
17.0;7;Métro Chaussée d'Antin-La Fayette;2.333718500000000;48.872841000000001;50148095.0;36 Boulevard Haussmann;75009;Paris;4.0;bd Haussmann;;48.872841, 2.3337185
21.0;9;Métro Miromesnil;2.314442700000000;48.873600300000000;50148285.0;45 Rue La Boétie;75008;Paris;2.0;av. Delcassé;;48.8736003, 2.3144427
